h	R	cor	avg
0.01	0.5376	-4.2E-4	0.00219
0.02567	0.53695	5.66E-4	0.0059
0.04134	0.54505	2.89E-4	0.00922
0.05701	0.55065	2.56E-4	0.01267
0.07268	0.56055	9E-5	0.01589
0.08835	0.539	2.37E-4	0.01946
0.10402	0.5282	8.95E-4	0.02277
0.11969	0.5333	8.86E-4	0.02626
0.13535	0.5523	0.00182	0.02995
0.15102	0.5381	0.00188	0.03315
0.16669	0.53805	0.00217	0.03699
0.18236	0.5561	0.00276	0.04041
0.19803	0.5297	0.00313	0.04421
0.2137	0.55815	0.00431	0.04766
0.22937	0.5255	0.00411	0.05124
0.24504	0.5462	0.00547	0.0548
0.26071	0.53445	0.00582	0.05861
0.27638	0.5485	0.00682	0.06221
0.29205	0.5283	0.00738	0.0659
0.30772	0.53505	0.00792	0.06959
0.32339	0.52875	0.0089	0.07322
0.33906	0.5421	0.00981	0.07716
0.35472	0.54805	0.01117	0.08096
0.37039	0.5261	0.0122	0.08509
0.38606	0.5295	0.01313	0.08903
0.40173	0.54985	0.01409	0.09358
0.4174	0.5339	0.01559	0.09752
0.43307	0.53535	0.01684	0.10179
0.44874	0.51915	0.01801	0.10634
0.46441	0.554	0.01939	0.11043
0.48008	0.5006	0.02079	0.11493
0.49575	0.5495	0.02294	0.11959
0.51142	0.5309	0.02377	0.12421
0.52709	0.52565	0.02568	0.12893
0.54276	0.53735	0.02732	0.1336
0.55843	0.5381	0.02922	0.13825
0.57409	0.50455	0.0314	0.14343
0.58976	0.52625	0.03278	0.14829
0.60543	0.50805	0.03534	0.15375
0.6211	0.5348	0.03755	0.1594
0.63677	0.5302	0.03979	0.16427
0.65244	0.50385	0.04204	0.16994
0.66811	0.52005	0.04448	0.17582
0.68378	0.5198	0.0471	0.18176
0.69945	0.5266	0.0496	0.18761
0.71512	0.52935	0.0528	0.19409
0.73079	0.51	0.05546	0.20102
0.74646	0.52	0.05893	0.20832
0.76213	0.5229	0.06259	0.21544
0.7778	0.52745	0.06576	0.22278
0.79347	0.51135	0.06978	0.23058
0.80913	0.51015	0.07311	0.23844
0.8248	0.5217	0.07739	0.24678
0.84047	0.5152	0.08134	0.25585
0.85614	0.51985	0.08631	0.26529
0.87181	0.5003	0.09092	0.27509
0.88748	0.50335	0.09659	0.28558
0.90315	0.4976	0.10202	0.2967
0.91882	0.4896	0.10717	0.30818
0.93449	0.51605	0.11371	0.32078
0.95016	0.52165	0.12038	0.3345
0.96583	0.5132	0.12801	0.34934
0.9815	0.5034	0.13559	0.36461
0.99717	0.50435	0.14402	0.3821
1.01284	0.5169	0.15351	0.40156
1.0285	0.5244	0.16409	0.42397
1.04417	0.5051	0.17554	0.44881
1.05984	0.3803	0.19218	0.48356
1.07551	0.072	0.2108	0.52636
1.09118	0.0063	0.22205	0.56511
1.10685	3E-4	0.22541	0.59807
1.12252	0.00475	0.22686	0.6298
1.13819	0	0.22419	0.64769
1.15386	0	0.21914	0.67619
1.16953	0	0.21257	0.69587
1.1852	0	0.2073	0.7126
1.20087	0	0.20627	0.72093
1.21654	0	0.19207	0.74836
1.23221	0	0.18751	0.7606
1.24787	0	0.17711	0.77851
1.26354	0	0.16951	0.79138
1.27921	0	0.15938	0.80837
1.29488	0	0.15454	0.81689
1.31055	0	0.14251	0.83312
1.32622	0	0.13754	0.83966
1.34189	0	0.12672	0.85644
1.35756	0	0.12233	0.86203
1.37323	0	0.11691	0.86896
1.3889	0	0.1109	0.87642
1.40457	0	0.10623	0.88248
1.42024	0	0.09628	0.89453
1.43591	0	0.09719	0.8936
1.45158	0	0.08617	0.90676
1.46724	0	0.08144	0.91194
1.48291	0	0.0759	0.9188
1.49858	0	0.07121	0.92389
1.51425	0	0.06875	0.92712
1.52992	0	0.06743	0.92838
1.54559	0	0.06158	0.935
1.56126	0	0.05938	0.93767
1.57693	0	0.05847	0.93841
1.5926	0	0.05219	0.9457
1.60827	0	0.04985	0.94831
1.62394	0	0.0487	0.94945
1.63961	0	0.04094	0.95737
1.65528	0	0.04212	0.95643
1.67095	0	0.04014	0.95858
1.68661	0	0.03651	0.96238
1.70228	0	0.03457	0.96447
1.71795	0	0.03603	0.96286
1.73362	0	0.0295	0.96971
1.74929	0	0.02628	0.97306
1.76496	0	0.0267	0.9728
1.78063	0	0.02854	0.97071
1.7963	0	0.02595	0.9735
1.81197	0	0.02409	0.97548
1.82764	0	0.02278	0.97679
1.84331	0	0.02104	0.97862
1.85898	0	0.01788	0.98196
1.87465	0	0.01867	0.9811
1.89032	0	0.01982	0.97985
1.90598	0	0.01726	0.98248
1.92165	0	0.01699	0.98273
1.93732	0	0.0139	0.98596
1.95299	0	0.01607	0.98381
1.96866	0	0.01503	0.98481
1.98433	0	0.01313	0.98672
2	0	0.01258	0.98727
